Image,Name,String,English,Marathi,Hindi,Malayalam,Bangla,Gujarati,Punjabi,Tamil,Odia,Telugu,Kannada,Assamese,Khasi,Urdu,Manipuri,Konkani,Portuguese (completed in June 25),Manipuri_meitei,Nepali
0,,Title,Be COVID wise,Be COVID wise,Be COVID wise,Be COVID wise,Be COVID wise,કોવિડ સમજદાર બનો,Be COVID wise,Be COVID wise,Be COVID wise,Be COVID wise,Be COVID wise,Be COVID wise,Be COVID wise,محتاط اور ہوشیار رہو,Be COVID wise,Be COVID wise,Esteja atento ao Covid-19,Be COVID wise,Be COVID wise
0,,Disclaimer,The answer is based on the availability of scientific evidence as on 17 June 2020 and will be updated if and when new data emerges,वरील उत्तर हे १७ जून २०२० पर्यंत उपलब्ध असलेल्या वैज्ञानिक पुराव्यांवर आधारलेले आहे. अधिक माहिती व पुरावे उपलब्ध झाल्यास त्यात आवश्यक ते बदल केले जातील. ,यहाँ दी गयी जानकारी १७ जून २०२० तक उपलब्ध वैज्ञानिक प्रमाणों पर आधारित है। नयी जानकारी उपलब्ध होने पर इसमें उचित संशोधन किया जायेगा। ,ഈ ഉത്തരങ്ങൾ 17 ജൂൺ 2020 വരെ ലഭ്യമായ ശാസ്ത്രീയ തെളിവുകളെ അടിസ്ഥാനപ്പെടുത്തിയുള്ളതാണ്. പുതുതായി ലഭിക്കുന്ന വിവരങ്ങൾക്കനുസൃതമായി മാറ്റങ്ങൾ വരുത്തുന്നതാണ്.,"এই উত্তরটি  ৬ মে ২০২০ পর্যন্ত পাওয়া বৈজ্ঞানিক তথ্যপ্রমাণের ভিত্তিতে লিখিত, নতুন তথ্য উপলব্ধ হলে প্রয়োজনমতো উত্তরটিকে সমৃদ্ধ করা হবে।","
જવાબ 17 જૂન 2020 સુધી મળેલા વૈજ્ઞાનિક પુરાવાઓની ઉપલબ્ધતા પર આધારિત છે અને જ્યારે નવી માહિતી બહાર આવશે, ત્યારે તેને તમારી સામે રજુ કરવામાં આવશે.",ਇਹ ਜਾਣਕਾਰੀ 17 ਜੂਨ 2020 ਤੱਕ ਉਪਲਬਧ ਵਿਗਿਆਨਕ ਪ੍ਰਮਾਣ 'ਤੇ ਅਧਾਰਤ ਹੈ ਅਤੇ ਨਵਾਂ ਡਾਟਾ ਸਾਹਮਣੇ ਆਉਣ ਤੇ ਅਪਡੇਟ ਕੀਤਾ ਜਾਵੇਗਾ ।,"ஜூன் 17, 2020 வரை கிடைத்துள்ள அறிவியல் தரவுகளின் அடிப்படையில் இந்த விளக்கங்கள் தரப்பட்டு இருக்கின்றன. புதிய தரவுகள் வெளிவரும்போது இந்த தகவல்கள் புத்தாக்கம் செய்யப்படும்.",ଏଠାର ଦିଆ ଯାଇଥିବା ସୂଚନା ଗୁଡିକ ୨୮ ଅପ୍ରେଲ ୨୦୨୦ ପର୍ଯ୍ୟନ୍ତ ପ୍ରକାଶ ପାଇଥିବା ବୈଜ୍ଞାନିକ ତଥ୍ୟ ଉପରେ ଆଧାରିତ । ଯଦି କୌଣସି ନୂଆ ତଥ୍ୟ ମିଳେ ଏହାକୁ ପୂର୍ଣ୍ଣ ବିଚାର କରାଯିବ ।,"ఈ క్రింది జవాబులు 28 ఏప్రిల్ వరకు తెలిసిన శాస్త్రీయ ఆధారాల మీద ఆధరితమయినవి. కొత్త ఆధారాలు దొరికినప్పుడు,ఈ జవాబుల లో మార్పులు చేయ బడతాయి.",ಈ ಕೆಳಕಂಡ ಉತ್ತರಗಳು ೧೭ ಜೂನ್ ೨೦೨೦ ವರೆಗೂ ದೊರೆತಿರುವ ವೈಜ್ಞಾನಿಕ ಪುರಾವೆಗಳನ್ನು ಆಧರಿಸಿದೆ. ಹೊಸ ಅಧ್ಯಯನಗಳ ಫಲಿತಾಂಶಗಳು ಬಂದರೆ ಇವುಗಳನ್ನು ತಿದ್ದಲಾಗುವುದು.,"উত্তৰসমূহ ৬ মে, ২০২০-লৈকে উপলব্ধ বৈজ্ঞানিক প্ৰমাণৰ ওপৰত প্ৰতিষ্ঠিত আৰু পৰৱৰ্তী সময়ত নতুন তথ্য উপলব্ধ হ'লে তাৰ ভিত্তিত ইয়াক নৱীকৰণ কৰা হ'ব। ",Ïa ki jubab hangne la pynshong nongrim halor ki sakhi katkum ka saïan kiba la mih haduh ka 17 tarik Jylliew 2020 bad yn sa nangpynthymmai shuh katba dang ïoh ki jingtip bathymmai.,ان سب کا جواب سائنسی شواہد کی دستیابی پر مبنی ہےجو کہ یہ ابھی سترہ جون ٢٠٢٠ تک کا ہے۔ جب جب نیا ڈیٹا ہمیں دستیاب ہو تا رہےگا ہم اسے اپ ڈیٹ کرتے رہیں گے۔,পাউখুমশিংসি ২০২০ গী জুন ১৭ ফাওবদা ফংবা সাইন্সকী প্রমানশিংদা  য়ুমফম ওইরগা পীবনি অমসুং অনৌবা দেতা ফংলকপগী মতুংইন্না শেমদোকচগনী।,"हें उत्तर १७ जून, २०२० पर्यंत उपलब्ध वैज्ञानिक पुराव्यांचेर आधारित आसा. फुडेंफाटीं हाजेर नवी माहिती आयल्यार हातूंत योग्य बदल करचे पडत, आनी ते जातले.  ",A resposta é baseada na disponibilidade de evidências científicas em 17 de Junho de 2020 e será atualizada se e quando surgirem novos dados.,The answer is based on the availability of scientific evidence as on 28 Apr 20 and will be updated if and when new data emerges,"यी उत्तरहरु जुन १७, २०२० सम्म उपलब्ध वैज्ञानिक प्रमाणहरुका आधारमा तयार पारिएका हुन् र नयाँ प्रमाणहरु आएमा त्यसै अनुरुप अद्यावधिक गरिनेछन्।"
0,,translation,,,,,,,,,,,,,,,,,Translation Facilitated by INPE,,Translation Facilitated by Nepal Astronomical Society
1,17qna_herd_immunity,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
1,,String 2,What is herd immunity?,कळप प्रतिकारशक्ती (हर्ड इम्युनिटी) म्हणजे काय?,झुंड प्रतिरक्षा क्या है?,ഹെർഡ്‌ ഇമ്മ്യൂണിറ്റി എന്നാലെന്ത്?,,હર્ડ ઈમ્યુનિટિ અથવા ઝુંડ પ્રતિરક્ષા એટલે શું?,ਝੁੰਡ ਪ੍ਰਤਿਰੋਧਤਾ (ਇੰਮਿਉਂਟੀ) ਕੀ ਹੈ?,ஹெர்ட் இம்யூனிட்டி என்றால் என்ன?,, మంద రోగనిరోధక శక్తి అంటే ఏమిటి?,,সামূহিক প্ৰতিৰোধী ক্ষমতা মানে কি?,,ریوڑ والی قوتِ مدافعت کیا ہے؟,,हर्ड इम्म्युनिटी म्हणजे किदें?,O que é a imunidade de rebanho? ,,बथान प्रतिरक्षा अर्थात् हर्ड इम्युनिटी भनेको के हो?
1,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
1,,String 4,"When a large fraction of the population is immune to an infectious disease (e.g. by vaccination), it does not spread easily. Vulnerable people who are not yet immune have a higher chance of protection because most of the people they contact are immune. The protection gained by being part of a social group (similar to an animal herd) is called herd immunity.","जेव्हा लोकसंख्येतील एका मोठ्या भागाला एखाद्या आजारापासून प्रतिकारशक्ती प्राप्त होते (उदा. लसीकरणामुळे), तेव्हा त्या आजाराचा प्रसार सहजी होत नाही. अशा समूहामधले असुरक्षित लोक देखील संक्रमित होत नाहीत, कारण त्यांच्या संपर्कात येणारे बरेचसे लोक सुरक्षित झालेले असतात. अशा प्रकारे सामाजिक गटाचा भाग असल्यामुळे निर्माण झालेल्या सुरक्षिततेला  'कळप प्रतिकारशक्ती' (हर्ड इम्युनिटी) म्हणतात. ","जब आबादी का एक बड़ा हिस्सा एक संक्रामक बीमारी (उदाहरण के लिए टीकाकरण) से प्रतिरक्षा करता है, तो यह आसानी से फैलता नहीं है। कमजोर लोग जिनके पास  अभी तक प्रतिरक्षा नहीं हैं उनके पास भी सुरक्षा का एक उच्च मौका है क्योंकि वे जिन लोगों से संपर्क करते हैं उनमें से अधिकांश प्रतिरक्षित  हैं। एक सामाजिक समूह (एक जानवर के झुंड के समान) का हिस्सा होने से प्राप्त संरक्षण को झुंड प्रतिरक्षा कहा जाता है।",ഒരു പകർച്ചവ്യാധിക്ക് ജനസംഖ്യയുടെ വലിയൊരു ഭാഗം (കുത്തിവെപ്പ് മൂലമോ മറ്റോ) പ്രതിരോധം നേടിയാൽ അത് എളുപ്പത്തിൽ പടരില്ല. രോഗപ്രതിരോധം നേടാത്തവരും കണ്ടുമുട്ടുന്നത് അധികവും പ്രതിരോധമുള്ളവരായതുകൊണ്ട് അവർക്കും രോഗം വരാൻ സാധ്യത കുറയുന്നു. ഇങ്ങനെ ഒരു സമൂഹത്തിന്റെ ഭാഗമായതുകൊണ്ട് ലഭിക്കുന്ന രോഗപ്രതിരോധത്തെ ഹെർഡ്‌ ഇമ്മ്യൂണിറ്റി എന്ന് വിളിക്കുന്നു.,,"જ્યારે જનસંખ્યા નો મોટો ભાગ કોઈ ચેપી રોગ થી પ્રતિરક્ષિત હોય છે (જેમ કે ટીકાકરણ દ્વારા), ત્યારે આ બીમારી આરામ થી ફેલી નથી શકતી. જે લોકો માં બીમારી થવાની શક્યતા વધારે છે કારણ કે એમના માં હજી પ્રતિરક્ષા તૈયાર નથી, તેવા લોકો માટે રક્ષા ની શક્યતા વધી જાય છે કારણ કે તેમને આસ-પાસ ના વધારે પડતા લોકો પ્રતિરક્ષિત છે. સામાજિક સમુહ નો હિસ્સો હોવાથી મળતી રક્ષા (જેમ કે જાનવરો નુ ઝુંડ) ને હર્ડ ઈમ્યુનિટિ કહેવાય છે.  ","ਜਦੋਂ ਆਬਾਦੀ ਦਾ ਵੱਡਾ ਹਿੱਸਾ ਇੱਕ ਸੰਕਰਮਿਕ ਬਿਮਾਰੀ ਤੋਂ ਇਮਿਉਨ(ਜਿਵੇਂ ਟੀਕਾਕਰਨ ਕਰਕੇ), ਤਾਂ ਇਹ ਇੰਨੀ ਅਸਾਨੀ ਨਾਲ ਨਹੀਂ ਫੈਲਦੀ। ਕਮਜ਼ੋਰ ਲੋਕ ਜੋ ਹਲੇ ਤੱਕ ਇੰਮਿਉਨ ਨਹੀਂ ਹਨ ਉਹਨਾਂ ਦੀ ਸੁਰੱਖਿਅਤ ਰਹਿਣ ਦੇ ਜਿਆਦਾ ਸੰਭਾਵਨਾ ਹੈ, ਕਿਉਕਿ ਜਿਆਦਾਤਰ ਉਹ ਇੰਮਿਉਨ ਲੋਕਾਂ ਦੇ ਸੰਪਰਕ ਵਿੱਚ ਆਉਣਗੇ। ਇਹ ਸਮਾਜਿਕ ਸਮੂਹ(ਜਾਨਵਰਾਂ ਦੇ ਝੁੰਡ ਵਾਂਗ) ਦਾ ਹਿੱਸਾ ਹੋਣ ਨਾਲ ਪ੍ਰਾਪਤ ਸੁਰੱਖਿਆ ਨੂੰ ਝੁੰਡ ਪ੍ਰਤਿਰੋਧਤਾ ਕਹਿੰਦੇ ਹਨ।",தடுப்பூசி முதலிய வழியே குறிப்பிட்ட தொற்றுநோய்க்கு எதிராகமக்கள் தொகையில் கணிசமாக நோய்தடுப்பாற்றல் பெற்றுவிட்டால் அந்த கிருமி எளிதில் பரவ முடியது. தம்மை சுற்றியுள்ளவர்கள் நோய்தடுப்பாற்றல் பெற்றுவிட்டதால் ஊறுபடத்தக்கவர்கள் கூட பெருமளவுக்கு கிருமிதொற்றுக்கு ஆளாவதிலிருந்து பாதுகாகப்பபடுவர். குறிப்பிட்ட குழு (விலங்கு மந்தைபோல) காப்பு பெறுவதால் இதனை ஹெர்ட் இம்யூனிட்டி அல்லது மந்தை நோய்தடுப்பாற்றல் என்பார்கள்.,,జనాభా లో ఎక్కువ భాగానికి అంటు వ్యాధికి వ్యతిరేకంగా రోగనిరోధిక శక్తి ఉన్నప్పుడు (టీకా ద్వారా) ఆ వ్యాధి సులభంగా వ్యాపించాడు. దాదాపు ప్రతి ఒక్కరికి  ఈ వ్యాధికి వ్యతిరేకంగా రోగనిరోధిక శక్తి కలిగి ఉంది కాబట్టి వారు రోగనిరోధిక శక్తి లేని వారిని కాపాడగలరు. ఒక సామాజిక సమూహంలో భాగం కావడం ద్వారా పొందిన ఈ రక్షణని (జంతు మంద మాదిరిగానే) మంద రోగనిరోధక శక్తి అంటారు.,,"যেতিয়া জনসংখ্যাৰ এক বুজন অংশৰ এটা বীজাণুজনিত ৰোগৰ বিৰুদ্ধে প্ৰতিৰোধী ক্ষমতা থাকে (যেনেঃ টীকাকৰণৰ জৰিয়তে), তেতিয়া ৰোগটো সহজে বিয়পিব নোৱাৰে। এনে অৱস্থাত, ৰোগ প্ৰতিৰোধী ক্ষমতা নথকা লোকসকলো ৰোগৰ পৰা হাত সাৰি থাকিব পাৰে, কিয়নো তেওঁলোকে সংস্পৰ্শলৈ অহা সৰহভাগ লোকৰে প্ৰতিৰোধী ক্ষমতা থাকে। এনেকৈ আক সামাজিক গোটৰ অংশীদাৰ হোৱাৰ ফলত লাভ কৰা প্ৰতিৰোধী ক্ষমতাকে সামূহিক প্ৰতিৰোধী ক্ষমতা বোলা হয়।",,جب آبادی کا ایک بہت بڑا حصہ متعدی بیماری (جیسے ٹیکے لگانے سے) محفوظ ہے تو ، یہ آسانی سے نہیں پھیلتا ہے۔ کمزور افراد جو ابھی تک مدافعتی نہیں ہیں ان کے پاس تحفظ کا زیادہ امکان موجود ہے کیونکہ زیادہ تر لوگ جن سے وہ رابطہ کرتے ہیں وہ قوتِ مدافعت  رکھتے ہیں۔ کسی معاشرتی گروہ (جانوروں کے ریوڑ کی طرح) کا حصہ بننے سے حاصل کردہ تحفظ کو ریوڑ والی قوتِ مدافعت کہتے ہیں۔,," एका समुदायातल्या अधिकांश लोकांक जर ऐखाद्या संक्रमित रोगाखातीर प्रतिकारशक्ती (इम्म्युनिटी) आसली (जशें की वाशीन मोहीमेकलागून), तर  तो रोग सोप्या रीतीन पसरना. इम्म्युन नशिल्ल्यांकसुद्धा संरक्षण मेळपाची शक्यता चड आसता कारण ते ज्या लोकांच्या संपर्कान येतात ते चडशे लोक इम्म्युन आसतात. अशें संरक्षण जें एका सामाजिक समूहाचो अंश आसल्यान मेळता (जनावरांच्या झुंडी सारखें), ताका हर्ड इम्म्युनिटी अशें म्हणतात. ","Quando uma grande fração da população está imune a uma doença infecciosa (p. ex., por vacina), essa doença não se espalha facimente. Pessoas vulneráveis, que ainda não adquiriram imunidade, tem uma chance maior de proteção porque a maioria das pessoas com quem elas terão contato já estarão imunes. A proteção adquirida por ser parte de um grupo social (similar a um rebanho) é chamada imunidade de rebanho. ",,"जब जनसंख्याको ठुलो हिस्साले संक्रामक रोगसंग लड्ने प्रतिरक्षा प्रणाली विकास गर्छ (जस्तै खोप लगाएर, आदि), तब रोग सजिलै फैलिदैन। यदि कोहि कमजोर प्रतिरक्षा प्रणाली भएका व्यक्ति यी व्यक्तिहरुको सम्पर्कमा आए  सुरक्षित रहन्छन् किनकि सम्पर्कमा आउने व्यक्तिहरुको प्रतिरक्षा प्रणाली राम्रो हुन्छ। यसरि एउटा सामाजिक समुहको सदस्य भएर (जस्तै जनावरको बथान) सुरक्षा पौने तरिकालाई बथान प्रतिरक्षा वा हर्ड इम्युनिटी भनिन्छ।"
2,18qna_serological_testing,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
2,,String 2,What is serological testing and how can it be used to detect COVID-19?,सेरॉलॉजिकल चाचणी म्हणजे काय आणि तिचा  कोविड -१९ च्या निदानासाठी कसा उपयोग होऊ शकतो?,सीरोलॉजिकल परीक्षण क्या है और इसका उपयोग COVID-19 का पता लगाने के लिए कैसे किया जा सकता है?,സീറോളജിക്കൽ ടെസ്റ്റിങ് എന്നാലെന്ത്? ഇതുപയോഗിച്ച് കോവിഡ്-19 നിർണ്ണയിക്കുന്നതെങ്ങനെ?,,સિરોલોગિકલ ટેસ્ટિંગ શું છે અને કોવિડ-19 ને શોધી કાઢાવા માં તેને કેવી રીતે વાપરી શકાય છે?,ਸੀਰੋਲੌਜੀਕਲ ਟੈਸਟਿੰਗ ਕੀ ਹੈ ਅਤੇ ਇਸ ਨੂੰ ਕੋਵਿਡ -19 ਦਾ ਪਤਾ ਲਗਾਉਣ ਲਈ ਕਿਵੇਂ ਵਰਤੀ ਜਾ ਸਕਦੀ ਹੈ?,கோவிட் 19 நோயை கண்டறியும் சீராலாஜிக்கல் பரிசோதனை என்றால் என்ன?,,సెరోలాజికల్ టెస్టింగ్ అంటే ఏమిటి మరియు కోవిద్-19 ను గుర్తించడానికి ఇది ఎలా ఉపయోగించవచ్చు?,,চিৰ'ল'জিকেল পৰীক্ষা কি আৰু ক'ভিড-১৯ চিনাক্ত কৰাৰ কাৰণে ইয়াক কিদৰে ব্যৱহাৰ কৰিব পাৰি?,,سیرولوجیکل ٹیسٹنگ کیا ہے اور کوویڈ ١٩ کا پتہ لگانے کے لئے اسکا کس طرح استعمال کیا جاسکتا ہے؟,,सेरॉलॉजिकल टेस्टिंग म्हणजे किदें? कोविड-१९ खातीर हाजो वापर कसो जावु शकता?,O que são testes sorológicos e como eles podem ser usados para testar a Covid-19? ,,"
सेरोलोजिकल परिक्षण के हो र यसको प्रयोग खोभिड-१९ को परिक्षणमा कसरि गरिन्छ?"
2,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
